code,i_date,time,open,high,low,close,vol,amount
HKHSI,647452800,1990-07-09,3359.8899,3389.1699,3359.8899,3385.1499,0,0
HKHSI,647539200,1990-07-10,3385.0,3413.3601,3378.46,3408.1599,0,0
HKHSI,647625600,1990-07-11,3407.9399,3450.1101,3407.9399,3440.9299,0,0
HKHSI,647712000,1990-07-12,3448.0,3472.4399,3443.8501,3468.5901,0,0
HKHSI,647798400,1990-07-13,3468.5901,3515.73,3468.5901,3507.1599,0,0
HKHSI,648057600,1990-07-16,3507.0,3513.48,3468.6599,3488.8501,0,0
HKHSI,648144000,1990-07-17,3488.0,3490.9399,3463.9399,3463.9399,0,0
HKHSI,648230400,1990-07-18,3463.9399,3529.3401,3463.9399,3528.29,0,0
HKHSI,648316800,1990-07-19,3528.0,3530.0901,3515.51,3523.5801,0,0
HKHSI,648403200,1990-07-20,3523.0,3542.8799,3504.6899,3540.4299,0,0
HKHSI,648662400,1990-07-23,3540.0,3559.8899,3528.55,3559.8899,0,0
HKHSI,648748800,1990-07-24,3541.0,3541.8,3479.8899,3495.8701,0,0
HKHSI,648835200,1990-07-25,3497.0,3535.4399,3495.8701,3520.54,0,0
HKHSI,648921600,1990-07-26,3520.0,3521.3601,3474.6399,3483.5901,0,0
HKHSI,649008000,1990-07-27,3479.0,3492.1101,3443.6101,3485.8,0,0
HKHSI,649267200,1990-07-30,3481.0,3481.8799,3444.74,3445.4099,0,0
HKHSI,649353600,1990-07-31,3445.0,3456.45,3429.0701,3438.49,0,0
HKHSI,649440000,1990-08-01,3438.0,3488.7,3437.95,3468.6399,0,0
HKHSI,649526400,1990-08-02,3468.0,3479.48,3397.3501,3415.1799,0,0
HKHSI,649612800,1990-08-03,3410.0,3410.97,3341.79,3356.95,0,0
HKHSI,649872000,1990-08-06,3346.0,3346.72,3107.98,3107.98,0,0
HKHSI,649958400,1990-08-07,3075.0,3146.6699,2909.1101,3098.6899,0,0
HKHSI,650044800,1990-08-08,3098.0,3171.02,3081.95,3145.5701,0,0
HKHSI,650131200,1990-08-09,3144.0,3144.53,3089.5601,3091.1201,0,0
HKHSI,650217600,1990-08-10,3091.0,3122.3999,3059.1001,3078.97,0,0
HKHSI,650476800,1990-08-13,3076.0,3078.97,3040.28,3040.28,0,0
HKHSI,650563200,1990-08-14,3042.1799,3079.8701,3042.1799,3067.53,0,0
HKHSI,650649600,1990-08-15,3067.53,3178.27,3067.53,3178.27,0,0
HKHSI,650736000,1990-08-16,3173.0,3183.29,3137.77,3183.29,0,0
HKHSI,650822400,1990-08-17,3175.0,3175.48,3102.2,3122.6399,0,0
HKHSI,651081600,1990-08-20,3120.0,3120.03,3040.55,3052.8401,0,0
HKHSI,651168000,1990-08-21,3052.0,3079.0,3024.55,3040.0,0,0
HKHSI,651254400,1990-08-22,3024.0,3024.8701,2949.9399,2954.9299,0,0
HKHSI,651340800,1990-08-23,2954.0,2954.9299,2828.78,2871.1399,0,0
HKHSI,651427200,1990-08-24,2870.0,2925.8,2813.0701,2918.01,0,0
HKHSI,651772800,1990-08-28,2958.22,3084.6399,2958.22,3078.9399,0,0
HKHSI,651859200,1990-08-29,3072.0,3072.21,3014.0901,3015.95,0,0
HKHSI,651945600,1990-08-30,3015.0,3083.25,3013.71,3064.1899,0,0
HKHSI,652032000,1990-08-31,3063.0,3091.4099,3055.7,3087.5,0,0
HKHSI,652291200,1990-09-03,3089.0,3096.3401,3061.2,3066.8101,0,0
HKHSI,652377600,1990-09-04,3063.0,3066.8101,3047.99,3054.1599,0,0
HKHSI,652464000,1990-09-05,3054.0,3055.1201,3032.51,3039.6899,0,0
HKHSI,652550400,1990-09-06,3021.55,3048.29,3021.55,3032.8501,0,0
HKHSI,652636800,1990-09-07,3030.0,3052.24,3008.03,3047.9099,0,0
HKHSI,652896000,1990-09-10,3049.8799,3088.29,3049.8799,3087.74,0,0
HKHSI,652982400,1990-09-11,3087.0,3088.1101,3066.8401,3083.5701,0,0
HKHSI,653068800,1990-09-12,3082.1399,3108.97,3082.1399,3105.04,0,0
HKHSI,653155200,1990-09-13,3105.0,3113.4399,3087.22,3093.97,0,0
HKHSI,653241600,1990-09-14,3087.0,3087.52,3058.04,3062.04,0,0
HKHSI,653500800,1990-09-17,3062.0,3062.04,3015.6201,3019.8701,0,0
HKHSI,653587200,1990-09-18,3016.0,3016.28,2976.8799,2996.6599,0,0
HKHSI,653673600,1990-09-19,2994.0,2994.45,2975.55,2980.95,0,0
HKHSI,653760000,1990-09-20,2980.0,3001.8101,2979.0,2984.54,0,0
HKHSI,653846400,1990-09-21,2979.0,2979.53,2921.24,2931.8601,0,0
HKHSI,654105600,1990-09-24,2931.0,2932.21,2861.77,2861.77,0,0
HKHSI,654192000,1990-09-25,2860.0,2860.72,2786.6201,2807.5,0,0
HKHSI,654278400,1990-09-26,2808.0,2826.01,2732.6899,2778.74,0,0
